run_id,model,section,session_b,score,method
1,Gemma4:e2b,entry,2,0.667785,st
1,Gemma4:e2b,entry,3,0.568599,st
1,Gemma4:e2b,entry,4,0.690319,st
1,Gemma4:e2b,entry,5,0.741815,st
1,Gemma4:e2b,entry,6,0.633682,st
1,Gemma4:e2b,entry,7,0.597392,st
1,Gemma4:e2b,entry,8,0.616093,st
1,Gemma4:e2b,entry,9,0.592629,st
1,Gemma4:e2b,entry,10,0.906049,st
1,Gemma4:e2b,entry,11,0.885028,st
1,Gemma4:e2b,entry,12,0.451573,st
1,Gemma4:e2b,entry,13,0.505373,st
1,Gemma4:e2b,entry,14,0.537088,st
5,gemma4-e2b,entry,2,0.400875,st
5,gemma4-e2b,entry,3,0.714624,st
5,gemma4-e2b,entry,4,0.831781,st
5,gemma4-e2b,entry,5,0.478109,st
5,gemma4-e2b,entry,6,0.735369,st
5,gemma4-e2b,entry,7,0.588895,st
5,gemma4-e2b,entry,8,0.719728,st
5,gemma4-e2b,entry,9,0.83604,st
5,gemma4-e2b,entry,10,0.520822,st
5,gemma4-e2b,entry,11,0.556379,st
5,gemma4-e2b,entry,12,0.436967,st
5,gemma4-e2b,entry,13,0.879559,st
5,gemma4-e2b,entry,14,0.807153,st
5,gemma4-e2b,entry,15,0.677194,st
6,gemma4-e2b,entry,2,0.873527,st
6,gemma4-e2b,entry,3,0.889768,st
6,gemma4-e2b,entry,4,0.906364,st
6,gemma4-e2b,entry,5,0.938364,st
6,gemma4-e2b,entry,6,0.879943,st
6,gemma4-e2b,entry,7,0.948012,st
6,gemma4-e2b,entry,8,0.952848,st
6,gemma4-e2b,entry,9,0.925277,st
6,gemma4-e2b,entry,10,0.913008,st
6,gemma4-e2b,entry,11,0.893029,st
6,gemma4-e2b,entry,12,0.888736,st
7,gemma4-e2b,entry,2,0.746593,st
7,gemma4-e2b,entry,5,0.87895,st
1,Gemma4:e2b,insights,2,0.751546,st
1,Gemma4:e2b,insights,3,0.739239,st
1,Gemma4:e2b,insights,4,0.717077,st
1,Gemma4:e2b,insights,5,0.793273,st
1,Gemma4:e2b,insights,6,0.772948,st
1,Gemma4:e2b,insights,7,0.733989,st
1,Gemma4:e2b,insights,8,0.755975,st
1,Gemma4:e2b,insights,9,0.895817,st
1,Gemma4:e2b,insights,10,0.81348,st
1,Gemma4:e2b,insights,11,0.732445,st
1,Gemma4:e2b,insights,12,0.936733,st
1,Gemma4:e2b,insights,13,0.928517,st
1,Gemma4:e2b,insights,14,0.931638,st
2,gemma4-e2b,insights,2,0.894864,st
2,gemma4-e2b,insights,3,0.931229,st
2,gemma4-e2b,insights,4,0.970777,st
2,gemma4-e2b,insights,5,0.944589,st
2,gemma4-e2b,insights,6,0.755335,st
2,gemma4-e2b,insights,7,0.85335,st
2,gemma4-e2b,insights,8,0.850614,st
2,gemma4-e2b,insights,9,0.672868,st
2,gemma4-e2b,insights,10,0.917827,st
2,gemma4-e2b,insights,11,0.899754,st
2,gemma4-e2b,insights,12,0.943844,st
2,gemma4-e2b,insights,13,0.956308,st
2,gemma4-e2b,insights,14,0.952147,st
4,gemma4-e2b,insights,2,0.606936,st
4,gemma4-e2b,insights,3,0.526034,st
4,gemma4-e2b,insights,8,0.871141,st
4,gemma4-e2b,insights,9,0.82376,st
4,gemma4-e2b,insights,10,0.893416,st
4,gemma4-e2b,insights,11,0.970057,st
4,gemma4-e2b,insights,12,0.959183,st
4,gemma4-e2b,insights,13,0.881677,st
4,gemma4-e2b,insights,14,0.966191,st
4,gemma4-e2b,insights,15,0.966191,st
5,gemma4-e2b,insights,2,0.74224,st
5,gemma4-e2b,insights,3,0.797782,st
5,gemma4-e2b,insights,4,0.69716,st
5,gemma4-e2b,insights,5,0.894287,st
5,gemma4-e2b,insights,6,0.826522,st
5,gemma4-e2b,insights,7,0.675604,st
5,gemma4-e2b,insights,8,0.751963,st
5,gemma4-e2b,insights,9,0.946466,st
5,gemma4-e2b,insights,10,0.887698,st
5,gemma4-e2b,insights,11,0.929841,st
5,gemma4-e2b,insights,12,0.920403,st
5,gemma4-e2b,insights,13,0.983378,st
5,gemma4-e2b,insights,14,0.943579,st
5,gemma4-e2b,insights,15,0.9485,st
6,gemma4-e2b,insights,2,0.432905,st
