section,session_num,avg_score,min_score,max_score,n_pairs,method
entry,1,0.382792,0.179696,0.716004,10,st
entry,2,0.589923,0.488914,0.80835,6,st
entry,3,0.580504,0.520345,0.658039,3,st
entry,4,0.594261,0.497742,0.744269,6,st
entry,5,0.478193,0.312627,0.76226,6,st
entry,6,0.392705,0.306327,0.468498,3,st
entry,7,0.471105,0.406904,0.543,3,st
entry,8,0.50144,0.41854,0.593931,3,st
entry,9,0.548475,0.404926,0.719207,3,st
entry,10,0.495055,0.353589,0.674031,3,st
entry,11,0.582056,0.523872,0.620136,3,st
entry,12,0.464901,0.399291,0.572371,3,st
entry,13,0.467076,0.467076,0.467076,1,st
entry,14,0.401723,0.401723,0.401723,1,st
insights,1,0.636631,0.457345,0.882481,15,st
insights,2,0.566966,0.362448,0.738475,15,st
insights,3,0.637544,0.466286,0.791062,15,st
insights,4,0.580269,0.435367,0.691257,10,st
insights,5,0.599832,0.419777,0.758872,10,st
insights,6,0.680442,0.562803,0.814366,10,st
insights,7,0.551716,0.381154,0.707214,15,st
insights,8,0.583659,0.437213,0.720613,15,st
insights,9,0.534968,0.252469,0.698658,15,st
insights,10,0.516315,0.340276,0.661736,15,st
insights,11,0.531677,0.399585,0.614869,15,st
insights,12,0.525685,0.243797,0.706115,15,st
insights,13,0.527116,0.323767,0.691412,10,st
insights,14,0.56652,0.409225,0.688067,10,st
insights,15,0.610327,0.558872,0.706738,3,st
distractions,1,0.64986,0.510257,0.781745,15,st
distractions,2,0.569502,0.452715,0.659203,15,st
distractions,3,0.525095,0.388958,0.729225,15,st
distractions,4,0.531219,0.280597,0.676504,15,st
distractions,5,0.556845,0.316302,0.717174,15,st
distractions,6,0.549131,0.398709,0.736855,15,st
distractions,7,0.558962,0.407199,0.716452,15,st
distractions,8,0.515206,0.398793,0.607982,15,st
distractions,9,0.500589,0.335921,0.605757,15,st
distractions,10,0.534983,0.400086,0.593985,15,st
distractions,11,0.512957,0.355786,0.611673,15,st
distractions,12,0.528371,0.464173,0.622474,15,st
distractions,13,0.507944,0.444157,0.561794,10,st
distractions,14,0.512482,0.42245,0.632609,10,st
distractions,15,0.534216,0.456637,0.584218,3,st
finger,1,0.636424,0.53031,0.76884,15,st
finger,2,0.708215,0.647955,0.769028,15,st
finger,3,0.681318,0.496948,0.791143,15,st
finger,4,0.696881,0.63124,0.817649,15,st
finger,5,0.693273,0.595373,0.811948,15,st
finger,6,0.699935,0.638064,0.76371,15,st
finger,7,0.673176,0.550591,0.730111,15,st
finger,8,0.683771,0.591986,0.810103,15,st
finger,9,0.692823,0.581181,0.807612,15,st
finger,10,0.686701,0.608104,0.79918,15,st
finger,11,0.68062,0.587088,0.797493,15,st
finger,12,0.679578,0.563002,0.795263,15,st
finger,13,0.665385,0.555903,0.792562,10,st
finger,14,0.663843,0.556493,0.794036,10,st
finger,15,0.668331,0.555903,0.792562,3,st
experience,1,0.633014,0.464147,0.785499,15,st
experience,2,0.621897,0.46928,0.775399,15,st
experience,3,0.590876,0.487035,0.711009,15,st
experience,4,0.609606,0.477178,0.72392,15,st
experience,5,0.618556,0.532819,0.782963,15,st
experience,6,0.643217,0.574372,0.768175,15,st
experience,7,0.654937,0.578349,0.765178,10,st
experience,8,0.661354,0.547781,0.791738,15,st
experience,9,0.647967,0.508866,0.789992,15,st
experience,10,0.645901,0.521555,0.770114,15,st
experience,11,0.63468,0.493839,0.770114,15,st
experience,12,0.645842,0.516552,0.770114,15,st
experience,13,0.61415,0.516552,0.744527,10,st
experience,14,0.617282,0.516552,0.744527,10,st
experience,15,0.695948,0.637403,0.744527,3,st
